#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P00698	uniprotkb:Q9HXB1	-	-	uniprotkb:LYZ(gene_name)	uniprotkb:ivy(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	Abergel, C. et al.(2007)	pubmed:17405861	taxid:9031(Gallus gallus)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0465"(dip)	dip:DIP-196790E	-
uniprotkb:P0AG24	uniprotkb:O52658	-	-	uniprotkb:spoT(gene_name)	uniprotkb:acpP2(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405080	-
uniprotkb:P0AG24	uniprotkb:O54439	-	-	uniprotkb:spoT(gene_name)	uniprotkb:acpP1(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405102	-
uniprotkb:P0A6A8	uniprotkb:Q9HTM0	-	-	uniprotkb:acpP(gene_name)	uniprotkb:spoT(gene_name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Battesti, A. et al.(2009)	pubmed:18996989	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6405110	-
uniprotkb:P0AFX4	uniprotkb:P26480	-	-	uniprotkb:rsd(gene_name)	uniprotkb:rpoD(gene_name)	psi-mi:"MI:0018"(two hybrid)	Dove, SL. et al.(2001)	pubmed:11591686	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-2013676	-
uniprotkb:P00579	uniprotkb:P15275	-	-	uniprotkb:rpoD(gene_name)	uniprotkb:algQ(gene_name)	psi-mi:"MI:0018"(two hybrid)	Dove, SL. et al.(2001)	pubmed:11591686	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-2124586	-
uniprotkb:P32267	uniprotkb:P26480	-	-	uniprotkb:asiA(gene_name)	uniprotkb:rpoD(gene_name)	psi-mi:"MI:0018"(two hybrid)	Dove, SL. et al.(2001)	pubmed:11591686	taxid:10665(Enterobacteria phage T4)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-2124774	-
uniprotkb:P0A9Q1	uniprotkb:P52002	-	-	uniprotkb:arcA(gene_name)	uniprotkb:mexB(gene_name)	psi-mi:"MI:0030"(cross-linking study)	Krishnamoorthy, G. et al.(2008)	pubmed:18024521	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6401347	-
uniprotkb:P0A9Q1	uniprotkb:P52002	-	-	uniprotkb:arcA(gene_name)	uniprotkb:mexB(gene_name)	psi-mi:"MI:0030"(cross-linking study)	Krishnamoorthy, G. et al.(2008)	pubmed:18024521	taxid:83333(Escherichia coli K-12)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6401352	-
uniprotkb:Q8PJX9	uniprotkb:G3XCZ3	-	-	uniprotkb:XAC2398(gene_name)	uniprotkb:pilZ(gene_name)	psi-mi:"MI:0107"(surface plasmon resonance)	Qi, Y. et al.(2012)	pubmed:22942245	taxid:190486(Xanthomonas axonopodis pv. citri str. 306)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6419928	-
