Protein1,Protein2,Confidence,Comment
PA4752,PA3746,1,In_reference_set
PA4645,PA3638,1,In_reference_set
PA5569,PA4253,1,In_reference_set
PA4944,PA3048,1,In_reference_set
PA4246,PA4935,1,In_reference_set
PA0546,PA4385,1,In_reference_set
PA2743,PA3673,1,In_reference_set
PA4768,PA4433,1,In_reference_set
PA1505,PA3028,1,In_reference_set
PA1456,PA0173,1,In_reference_set
PA2969,PA1587,1,In_reference_set
PA3642,PA3640,1,In_reference_set
PA0002,PA5567,1,In_reference_set
PA3297,PA5016,1,In_reference_set
PA1353,PA0128,1,In_reference_set
PA3806,PA0656,1,In_reference_set
PA3673,PA4821,1,In_reference_set
PA2961,PA4263,1,In_reference_set
PA4406,PA4403,1,In_reference_set
PA1635,PA1633,1,In_reference_set
PA2188,PA1587,1,In_reference_set
PA3646,PA4258,1,In_reference_set
PA3832,PA4260,1,In_reference_set
PA4646,PA4385,1,In_reference_set
PA4760,PA4935,1,In_reference_set
PA1172,PA1174,1,In_reference_set
PA1104,PA1447,1,In_reference_set
PA3620,PA3344,1,In_reference_set
PA4241,PA4243,1,In_reference_set
PA3972,PA5316,1,In_reference_set
PA3832,PA1816,1,In_reference_set
PA0336,PA5015,1,In_reference_set
PA1948,PA1950,1,In_reference_set
PA5335,PA3745,1,In_reference_set
PA2743,PA4244,1,In_reference_set
PA0962,PA2840,1,In_reference_set
PA5361,PA5365,1,In_reference_set
PA2622,PA4433,1,In_reference_set
PA2812,PA4433,1,In_reference_set
PA3725,PA5345,1,In_reference_set
PA4530,PA3168,1,In_reference_set
PA4996,PA1587,1,In_reference_set
PA2840,PA4477,1,In_reference_set
PA2962,PA2961,1,In_reference_set
PA4758,PA4756,1,In_reference_set
PA4385,PA2071,1,In_reference_set
PA3337,PA5011,1,In_reference_set
PA1457,PA0173,1,In_reference_set
PA3000,PA5015,1,In_reference_set
PA4256,PA4268,1,In_reference_set
PA3861,PA4259,1,In_reference_set
PA4670,PA4563,1,In_reference_set
PA4241,PA4269,1,In_reference_set
PA5323,PA5263,1,In_reference_set
PA0376,PA0375,1,In_reference_set
PA1505,PA3916,1,In_reference_set
PA1456,PA5016,1,In_reference_set
